id,japanese_source,english_reference
201,会議を始めましょう。,Let's start the meeting.
202,自己紹介をしてください。,Please introduce yourself.
203,これが本日の議題です。,Here is today's agenda.
204,この資料をご覧ください。,Please look at this document.
205,もう一度説明していただけますか。,Could you explain that again?
206,予定を確認しましょう。,Let's confirm the schedule.
207,回答を明日までにお願いします。,Please send your answer by tomorrow.
208,進捗状況を教えてください。,Please tell me the progress.
209,クライアントに連絡します。,I will contact the client.
210,会議室を予約しました。,I have booked the meeting room.
211,ご協力ありがとうございます。,Thank you for your cooperation.
212,何か質問はありますか。,Do you have any questions?
213,価格を確認します。,I will check the price.
214,すぐに対応いたします。,I will handle it right away.
215,もう少し時間をいただけますか。,Could I have a little more time?
216,提案書を送ります。,I will send the proposal.
217,ご検討ください。,Please consider it.
218,了解しました。,Understood.
219,失礼いたしました。,I apologize.
220,よろしくお願いいたします。,I look forward to working with you.
